name c? asm? const? user?
words2 1 0 0 0 
?constword 1 0 0 0 
constword 0 0 1 0 
?userword 1 0 0 0 
userword 0 0 1 0 
?asmword 1 0 0 0 
?cword 1 0 0 0 
cword 0 0 1 0 
task 1 0 0 0 
reset 0 1 0 0 
lload 1 0 0 0 
next 1 0 0 0 
end-code 1 0 0 0 
code 1 0 0 0 
.s 1 0 0 0 
0> 1 0 0 0 
d< 1 0 0 0 
depth 1 0 0 0 
roll 1 0 0 0 
j 0 1 0 0 
exit 0 0 0 0 
2over 1 0 0 0 
2swap 1 0 0 0 
.cpu 1 0 0 0 
intvect 0 0 0 1 
intflag 0 0 0 1 
;int 1 0 0 0 
index 1 0 0 0 
list 1 0 0 0 
words 1 0 0 0 
u. 1 0 0 0 
? 1 0 0 0 
. 1 0 0 0 
d. 1 0 0 0 
.r 1 0 0 0 
d.r 1 0 0 0 
#s 1 0 0 0 
# 1 0 0 0 
sign 1 0 0 0 
#> 1 0 0 0 
<# 1 0 0 0 
spaces 1 0 0 0 
while 1 0 0 0 
else 1 0 0 0 
if 1 0 0 0 
repeat 1 0 0 0 
again 1 0 0 0 
end 1 0 0 0 
until 1 0 0 0 
+loop 1 0 0 0 
loop 1 0 0 0 
do 1 0 0 0 
then 1 0 0 0 
endif 1 0 0 0 
begin 1 0 0 0 
back 1 0 0 0 
forget 1 0 0 0 
' 1 0 0 0 
--> 1 0 0 0 
load 1 0 0 0 
dump 1 0 0 0 
flush 1 0 0 0 
r/w 1 0 0 0 
block 1 0 0 0 
buffer 1 0 0 0 
empty-buffers 1 0 0 0 
update 0 0 0 0 
+buf 0 0 0 0 
prev 0 0 0 1 
use 0 0 0 1 
p! 0 1 0 0 
p@ 0 1 0 0 
message 1 0 0 0 
.line 1 0 0 0 
<line> 1 0 0 0 
m/mod 1 0 0 0 
*/ 1 0 0 0 
*/mod 1 0 0 0 
mod 1 0 0 0 
/ 1 0 0 0 
/mod 1 0 0 0 
* 1 0 0 0 
m/ 1 0 0 0 
m* 1 0 0 0 
max 1 0 0 0 
min 1 0 0 0 
dabs 1 0 0 0 
abs 1 0 0 0 
d+- 1 0 0 0 
+- 1 0 0 0 
s->d 0 1 0 0 
cold 0 0 0 0 
warm 1 0 0 0 
abort 1 0 0 0 
quit 1 0 0 0 
( 1 0 0 0 
definitions 1 0 0 0 
forth 0 0 0 0 
vocabulary 1 0 0 0 
immediate 1 0 0 0 
interpret 1 0 0 0 
?stack 1 0 0 0 
dliteral 1 0 0 0 
literal 1 0 0 0 
[compile] 1 0 0 0 
id. 1 0 0 0 
error 1 0 0 0 
<abort> 1 0 0 0 
-find 1 0 0 0 
number 1 0 0 0 
convert 1 0 0 0 
word 1 0 0 0 
pad 1 0 0 0 
hold 1 0 0 0 
blanks 1 0 0 0 
erase 1 0 0 0 
fill 0 1 0 0 
 1 0 0 0 
query 1 0 0 0 
expect 1 0 0 0 
." 1 0 0 0 
<."> 1 0 0 0 
-trailing 1 0 0 0 
type 1 0 0 0 
count 1 0 0 0 
does> 1 0 0 0 
create 1 0 0 0 
;code 1 0 0 0 
<;code> 1 0 0 0 
decimal 1 0 0 0 
hex 1 0 0 0 
smudge 1 0 0 0 
] 1 0 0 0 
[ 1 0 0 0 
compile 1 0 0 0 
?loading 1 0 0 0 
?csp 1 0 0 0 
?pairs 1 0 0 0 
?exec 1 0 0 0 
?comp 1 0 0 0 
?error 1 0 0 0 
!csp 1 0 0 0 
pfa 1 0 0 0 
nfa 1 0 0 0 
cfa 0 1 0 0 
lfa 1 0 0 0 
latest 1 0 0 0 
traverse 1 0 0 0 
?dup 1 0 0 0 
space 1 0 0 0 
pick 1 0 0 0 
rot 0 1 0 0 
> 1 0 0 0 
u< 1 0 0 0 
< 0 1 0 0 
= 1 0 0 0 
- 0 1 0 0 
c, 1 0 0 0 
, 1 0 0 0 
allot 1 0 0 0 
here 1 0 0 0 
2- 0 1 0 0 
1- 0 1 0 0 
2+ 0 1 0 0 
1+ 0 1 0 0 
call 0 1 0 0 
rl 0 0 0 1 
rh 0 0 0 1 
re 0 0 0 1 
rd 0 0 0 1 
rc 0 0 0 1 
rb 0 0 0 1 
rf 0 0 0 1 
ra 0 0 0 1 
rhl, 0 0 0 1 
rde, 0 0 0 1 
rbc, 0 0 0 1 
raf, 0 0 0 1 
riy 0 0 0 1 
rix 0 0 0 1 
rhl 0 0 0 1 
rde 0 0 0 1 
rbc 0 0 0 1 
raf 0 0 0 1 
uabort 0 0 0 1 
ur/w 0 0 0 1 
ucr 0 0 0 1 
uemit 0 0 0 1 
ukey 0 0 0 1 
u?terminal 0 0 0 1 
ub/scr 0 0 0 1 
ub/buf 0 0 0 1 
ulimit 0 0 0 1 
ufirst 0 0 0 1 
uc/l 0 0 0 1 
hld 0 0 0 1 
r# 0 0 0 1 
csp 0 0 0 1 
fld 0 0 0 1 
dpl 0 0 0 1 
base 0 0 0 1 
state 0 0 0 1 
current 0 0 0 1 
context 0 0 0 1 
offset 0 0 0 1 
scr 0 0 0 1 
out 0 0 0 1 
>in 0 0 0 1 
blk 0 0 0 1 
voc-link 0 0 0 1 
dp 0 0 0 1 
fence 0 0 0 1 
warning 0 0 0 1 
width 0 0 0 1 
tib 0 0 0 1 
r0 0 0 0 1 
s0 0 0 0 1 
b/scr 1 0 0 0 
b/buf 1 0 0 0 
limit 1 0 0 0 
first 1 0 0 0 
c/l 1 0 0 0 
bl 0 0 1 0 
3 0 0 1 0 
2 0 0 1 0 
1 0 0 1 0 
0 0 0 1 0 
user 1 0 0 0 
variable 1 0 0 0 
constant 1 0 0 0 
; 1 0 0 0 
: 1 0 0 0 
2! 0 1 0 0 
c! 0 1 0 0 
! 0 1 0 0 
2@ 0 1 0 0 
c@ 0 1 0 0 
@ 0 1 0 0 
toggle 0 1 0 0 
+! 0 1 0 0 
bounds 0 1 0 0 
2dup 0 1 0 0 
dup 0 1 0 0 
swap 0 1 0 0 
2drop 0 1 0 0 
drop 0 1 0 0 
over 0 1 0 0 
dnegate 0 1 0 0 
negate 0 1 0 0 
d+ 0 1 0 0 
+ 0 1 0 0 
0< 0 1 0 0 
not 0 0 0 0 
0= 0 1 0 0 
r@ 0 0 0 0 
r> 0 1 0 0 
>r 0 1 0 0 
leave 0 1 0 0 
;s 0 1 0 0 
rp! 0 1 0 0 
rp@ 0 1 0 0 
sp! 0 1 0 0 
